specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
2286824271390992384,1237664818217681001,0.2180976,4.119983E-05,21.87663,19.09839,17.70787,17.16136,16.87066,0.4517144,0.01815588,0.009138389,0.008309792,0.0202316
2376803348813735936,1237665128538702001,0.03553127,1.260894E-05,19.9787,18.21318,17.47211,17.08829,16.82825,0.08535084,0.008706341,0.007393855,0.007783319,0.02286868
2407235636512712704,1237665128019919001,0.06605384,1.1293E-05,17.92564,16.50641,16.0311,15.73954,15.63285,0.05979613,0.00638589,0.006792271,0.007878,0.0277305
2475885840643942400,1237665428645872001,0.03863359,1.705397E-05,20.06442,18.25611,17.53457,17.18961,16.95485,0.05882531,0.007335823,0.005880374,0.006223844,0.01596607
2665072487716382720,1237667549805216001,0.1162946,1.458438E-05,19.85351,18.51984,17.78208,17.37749,17.17575,0.07795545,0.01453311,0.009309128,0.009846719,0.02704664
679007288517748736,1237651067355988001,0.4722861,0.0001616853,25.28629,21.43829,19.53811,18.6173,18.27476,1.559358,0.09090109,0.02652611,0.01895078,0.04575283
831018627149883392,1237656243310101001,0.2420046,4.80343E-05,21.29778,19.47124,17.92379,17.3537,16.99262,0.1948814,0.01891722,0.008262662,0.007935369,0.01797347
959303868993267712,1237654879120720001,0.0815658,2.000778E-05,19.27269,17.31503,16.424,16.01355,15.71114,0.04530995,0.005616832,0.004040272,0.003921501,0.008014173
1026857039642519552,1237655498128032001,0.3596894,8.090256E-05,22.38821,20.79908,18.91065,18.28108,17.89007,0.5781016,0.0575561,0.01678378,0.01448215,0.03706422
1039214175563311104,1237655498675651001,0.03387645,1.056647E-05,19.16915,17.98793,17.48231,17.20969,17.0691,0.07089861,0.01192608,0.01072733,0.01396323,0.04316184
1041627053947906048,1237655499751621001,0.05470886,7.476565E-06,19.62399,17.91907,17.29799,16.91704,16.67687,0.08182679,0.008755199,0.006929878,0.007618256,0.01938694
1100149659831134208,1237655502426473001,0.1666466,3.38207E-05,19.23803,17.70543,16.64808,16.15483,15.81338,0.06050951,0.008013318,0.005105413,0.004923897,0.01132974
1137188637167872000,1237657589780644001,0.1503011,2.685892E-05,20.67005,18.43648,17.47603,17.04158,16.72299,0.1862824,0.01169025,0.008038064,0.008166923,0.0198324
1976021463525779456,1237661068184781001,0.07733878,2.216037E-05,19.43834,17.44137,16.44795,15.9479,15.55667,0.04265521,0.005697622,0.004110296,0.004095444,0.008097866
2487179755095353344,1237665441538114001,0.1711041,3.764628E-05,20.47876,18.60354,17.33314,16.77469,16.36858,0.1369371,0.01207306,0.006793711,0.00635071,0.0154416
2528868285869484032,1237665532244853001,0.2500079,6.964619E-05,20.89987,18.44201,17.07508,16.56866,16.18324,0.3531646,0.01645556,0.0087661,0.008324788,0.02403869
2668409505523460096,1237667781745509001,0.3886465,0.0001634898,24.90163,21.48755,19.51123,18.8392,18.42672,1.877377,0.1059984,0.02785406,0.02366232,0.05216623
2670660205892626432,1237667781747409001,0.02004974,6.018851E-06,18.36523,17.31209,16.92242,16.73059,16.55488,0.01978456,0.004943965,0.004728197,0.005216591,0.01223948
