specObjID,objID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1182364272626264064,1237659133286482002,0.1143547,8.574074E-06,19.63916,18.34158,17.75151,17.39154,17.17507,0.05796222,0.009645201,0.008331696,0.008978914,0.02235418
1551525582234216448,1237662193460904002,0.2129268,3.092648E-05,20.42724,18.43567,17.12108,16.62421,16.31303,0.1360149,0.01236568,0.006442143,0.006157109,0.01448706
1551546747833051136,1237662193460773002,0.0604219,5.287185E-06,19.28397,18.11485,17.58002,17.19974,17.01211,0.03155157,0.007060403,0.00603418,0.006158461,0.01557596
1569649382939191296,1237661435391181002,0.1408938,3.316742E-05,20.38837,18.44962,17.37829,16.93347,16.60127,0.07541478,0.009183939,0.006227048,0.006635805,0.01373444
1620329995270383616,1237662194521342002,0.07524504,7.162222E-06,18.58957,17.83009,17.64301,17.41109,17.38326,0.02033582,0.005807527,0.00618699,0.006408137,0.01750692
1639412021449484288,1237662194528289002,0.07217342,3.372686E-05,20.36492,18.49405,17.5981,17.20596,16.87955,0.07698917,0.008604551,0.006241273,0.006128951,0.01416259
2044726105797060608,1237662197746172002,0.03063115,1.081443E-05,17.65678,15.79677,14.94879,14.55246,14.21464,0.01352215,0.002872813,0.002447586,0.002462256,0.003713689
2048181881261811712,1237662238561010002,0.03466857,1.649031E-05,18.65345,16.92279,16.13554,15.77044,15.47166,0.04208896,0.005266601,0.004087748,0.004127077,0.008527623
2516476241410811904,1237667324331557002,0.1193103,1.453919E-05,19.54626,18.06677,17.43547,17.06826,16.81929,0.05942237,0.008186093,0.007372683,0.008217833,0.02199092
2827287563327268864,1237667736653267002,0.1379612,2.652966E-05,19.60709,17.79284,16.70685,16.2604,15.91404,0.06037135,0.006762126,0.004563442,0.004513637,0.009046537
2980378349983000576,1237667736657789002,0.1919903,7.199222E-06,19.03527,18.2951,17.86297,17.63854,17.57133,0.0362346,0.008660109,0.008647069,0.01027188,0.03145203
2991573302616549376,1237667736655823002,0.1067684,1.858204E-05,19.8596,17.78584,16.81737,16.40726,16.09428,0.06396864,0.006206908,0.004547586,0.004633022,0.00940841
2996070030346577920,1237667736659493002,0.07094979,8.61538E-06,18.34007,17.11717,16.49585,16.10969,15.87831,0.03096934,0.005475766,0.004836088,0.005098555,0.01210641
3134513113215297536,1237667910066897002,0.04517245,1.071124E-05,16.98308,16.04992,15.58448,15.31898,15.081,0.01299825,0.004771985,0.002956806,0.002999666,0.005772392
703712216775419904,1237654953202680002,0.08337531,9.522773E-06,18.09248,16.80187,16.23192,15.88409,15.66101,0.02306103,0.004506487,0.004047372,0.004228214,0.01158535
703712766531233792,1237651714797470002,0.2087762,3.015332E-05,20.41823,18.5048,17.42187,17.02993,16.78514,0.07201169,0.008407184,0.005616487,0.005820315,0.01455619
706043456287434752,1237651714261189002,0.2635557,6.224252E-05,21.31461,19.29424,17.78896,17.25066,16.89985,0.2204158,0.01836775,0.008653935,0.008042943,0.02056597
